"Station Longitude","Station Latitude","Variable Name","Metric","Timestamp","Value","Infilled","Range check","Continuity check","Persistence check","Climatological check","Spatial check","Temporal check","Check outcome"
14.4284,40.96616944,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.545,40.63825,"Rainfall","SUM",2022-03-19,0.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.17280556,41.38247222,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.01511111,40.49713889,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.04280556,40.51208333,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.71227778,40.67072222,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.43113889,40.17525,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.33372222,41.33922222,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.28491944,41.34177222,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.78386111,41.00627778,"Rainfall","SUM",2022-03-19,1,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.39466667,41.21825,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.57958333,40.62227778,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.59083333,40.63827778,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.97204167,41.12759722,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.49980556,41.02966667,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.42830556,40.55180556,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.59511111,40.95938889,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.78358333,40.91197222,"Rainfall","SUM",2022-03-19,1.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.07444444,40.82730556,"Rainfall","SUM",2022-03-19,2.6,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.76627778,40.75127778,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.97575,40.61113889,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.98254444,40.58382778,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.31147222,40.42333333,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.24288889,40.84144444,"Rainfall","SUM",2022-03-19,0.8,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.46297222,40.78719444,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.71116667,40.82480556,"Rainfall","SUM",2022-03-19,0.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.35722222,41.17966667,"Rainfall","SUM",2022-03-19,0,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.30508333,40.29388889,"Rainfall","SUM",2022-03-19,0.2,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
14.96594444,40.46847222,"Rainfall","SUM",2022-03-19,0.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
15.22097222,40.81613889,"Rainfall","SUM",2022-03-19,1.4,FALSE,"CORRECT","UNCHECKED","AUXUNRELIABLE","UNCHECKED","UNCHECKED","UNCHECKED","UNDECIDED"
